0,ID,body,date,Month,Year,day,Mentioned purchase time?,Battery failure? 0 or 1
116,PG,"benne, 05 Aug 2022my opinion is the xs is better  in many ways but the 11 pro is the best ! it is very good !!!I wish I had purchased an 11 pro instead of the regular 11 but I am not disappointed, this is a very good device and has lasted me all of 3 years with 97% battery health",15-Aug-22,Aug,2022,15,4,0
117,PG,"Benne, 09 Aug 2022Hi be careful with the new software update 15.6  !!!  DO NOT UPGRADE !!! It has a huge bug  !!... moreMight just be your device because I have been on 15.6 and have had no blackouts. Battery does seem a little less but itâ€™s been good",15-Aug-22,Aug,2022,15,0,0
118,Anonymous,Why is this so wide?,15-Aug-22,Aug,2022,15,0,0
119,g4smarius,"Anonymous, 10 Aug 2022Hello , what should i buy (secund hend phone)
-iPhone Xs Max or
-iPhone 11iphone 11 my opinion",11-Aug-22,Aug,2022,11,0,0
120,iPhone11guy,Hello my 11 has very pale looking screen even with true tone on. What is going on with it?? When it was new it had no such problem,10-Aug-22,Aug,2022,10,0,0
121,Anonymous,"Hello , what should i buy (secund hend phone) 
-iPhone Xs Max or 
-iPhone 11",10-Aug-22,Aug,2022,10,0,0
122,Benne,Hi be careful with the new software update 15.6  !!!  DO NOT UPGRADE !!! It has a huge bug  !!!  That  drain the battery very fast and black out the screen !,9-Aug-22,Aug,2022,9,0,0
123,benne,my opinion is the xs is better  in many ways but the 11 pro is the best ! it is very good !!!,5-Aug-22,Aug,2022,5,0,0
124,Iphone11user ,"Bix, 12 Jul 2022Hi thinking of switching to Apple because I want something to last me atleast 4-5 years. And I... moreXR. For the price of a base model 11 you could get a 256GB variant of the XR",1-Aug-22,Aug,2022,1,0,0
125,Iphone11user ,"Love0ne1, 24 Jul 2022Hi,
Recently got my ip 11 with 86 bh health

Which was came it ios 14.6, then i didn't... moreBattery health is a flawed feature, mostly inaccurate, no need to look it up just leave the phone the way it is",1-Aug-22,Aug,2022,1,0,0
126,Anonymous,"Anonymous, 28 Jul 2022Due to the budget problem I decided to buy iphone 11. I want to know is it worth to buy right now?i just bought one. my ip7 can finally rest",31-Jul-22,Jul,2022,31,0,0
127,no_ID,"Anonymous, 28 Jul 2022Due to the budget problem I decided to buy iphone 11. I want to know is it worth to buy right now?yup. My iphone 11 is still alive after 2years. at 92% battery health rn",30-Jul-22,Jul,2022,30,4,0
128,Anonymous,Due to the budget problem I decided to buy iphone 11. I want to know is it worth to buy right now?,28-Jul-22,Jul,2022,28,0,0
129,no_ID,"Hi, 
Recently got my ip 11 with 86 bh health
 
Which was came it ios 14.6, then i didn't take note of the battery performance, then i later updated to 15.6 and download pubg, but battery drains in in a weird way. 
 
i noticed sometimes it drain faster at some percent, sometimes it stays long at some.
 
So i checked the battery log. 
Battery cycle at 766 
Battery nominal charge capacity at 2653 
Which is weird, right?
 
But checking the battery health in the settings shows it's calibrating, and it might take a few weeks.",24-Jul-22,Jul,2022,24,1,1
130,no_ID,"ddas, 21 Jul 2022Well I couldnâ€™t stop thinking for iPhone 13, so today finally I exchanged my iPhone 11 & b... moreCongrats",22-Jul-22,Jul,2022,22,0,0
131,no_ID,"Nizmo, 18 Jul 2022Um wait till the iPhone 14 release prices of the iPhone 13 will drop . Save money and sell you... moreWell I couldnâ€™t stop thinking for iPhone 13, so today finally I exchanged my iPhone 11 & bought a new iPhone 13, Alpine Green color 128GB variant..ðŸ¤—ðŸ¥³ 
Goodbye my lovely iPhone 11 forum.ðŸ™‹ðŸ»â€â™‚ï¸",21-Jul-22,Jul,2022,21,0,0
132,Gana,"Xuccessful, 20 Jul 2022I seriously need an advice from you guys, I want to buy an apple iphone but i don't the r... moreI'll say you go fo",21-Jul-22,Jul,2022,21,0,0
133,Ali Qureshi,"Xuccessful, 20 Jul 2022I seriously need an advice from you guys, I want to buy an apple iphone but i don't the r... moreGo for iPhone 11 hands down.",20-Jul-22,Jul,2022,20,0,0
134,Xuccessful,"I seriously need an advice from you guys, I want to buy an apple iphone but i don't the right specs for me, it's between iphone xr and 11. Pls you guys should help me out on this one.",20-Jul-22,Jul,2022,20,0,0
135,Anonymous,"I can't believe how this phone is still so widely available. In my city, after a phone becomes 1 year old its almost impossible to find it anywhere in stores but this 3 year old phone is still being sold 
Crazy  
Unfortunately it's not worth the price. At $700 i can get a better 2022 phone instead this old one",20-Jul-22,Jul,2022,20,0,0
136,no_ID,"Nizmo, 18 Jul 2022Um wait till the iPhone 14 release prices of the iPhone 13 will drop . Save money and sell you... moreI liked iPhone 13 design & looksâ€¦it was in my mind since beginning but due to budget constraints I end up buying iPhone 11. I regret totally. 
Android Iâ€™m using since Samsung Galaxy S series so donâ€™t want to go back to Android again.",18-Jul-22,Jul,2022,18,0,0
137,Nizmo,"ddas, 07 Jul 2022Iâ€™m bored off from my iPhone 11 & want to switch to iPhone 13 miniâ€¦but itâ€™s not even an ye... moreUm wait till the iPhone 14 release prices of the iPhone 13 will drop . Save money and sell your iPhone 11 or trade it in . Being bored with a iPhone 11 and jumping up 2 gens ainâ€™t that much difference . Sure better cameras for what ? Facebook TikTok or instagram lol or maybe unlock phone with mask on lol. I have iPhone 11 ainâ€™t upgrading till battery life is below 90% so maybe iPhone 15 or 16 imma get. But  since you got bored with an iPhone in a year I would get an android phone if I was you . Youâ€™d get bored with iPhone 13 mini within a year . With android you can install different launchers even make it look like iOS. Just stay away from budget android phones and lower midrange phones .",18-Jul-22,Jul,2022,18,0,0
138,Anonymous,its ok,17-Jul-22,Jul,2022,17,0,0
139,Anonymous,"ddas, 07 Jul 2022Iâ€™m bored off from my iPhone 11 & want to switch to iPhone 13 miniâ€¦but itâ€™s not even an ye... moreI think you have bigger problems than not having the latest-and-greatest iPhone",17-Jul-22,Jul,2022,17,0,0
140,Akira,"Been using this phone for 3 months now with battery health still on 100%
 
The phone for me works perfectly fine I usually do streaming and social media some photos at videos as well. The phone for me last for 2 days max at 15% battery.
 
If your phone draina fast try to tweak it turn off some settings at your phone will last. Trust me.",17-Jul-22,Jul,2022,17,2,0
141,no_ID,"Bix, 12 Jul 2022Hi thinking of switching to Apple because I want something to last me atleast 4-5 years. And I... more12 mini for sure, but if you want bigger display, iphone 11 but with older chipset",13-Jul-22,Jul,2022,13,0,0
142,Bix,"Hi thinking of switching to Apple because I want something to last me atleast 4-5 years. And I don't money to buy flagships. So which one of these would be the my best option. All second hand from a reputable dealer.
 
iPhone SE 2020 
iPhone 11 
iPhone XS Max 
iPhone XR 
iPhone 12 mini",12-Jul-22,Jul,2022,12,0,0
143,no_ID,"Nizmo, 11 Jul 2022Any of those will be good factor in a price of a new battery and get whatEvers in your budget.... moreThanks for your opinion. Been confused for a while now. been seeing battery drain test on the iPhone xs Max, 11 and 11 pro on YouTube. 11 wasn't looking impressive",11-Jul-22,Jul,2022,11,0,0
144,Nizmo,"Andykhan, 06 Jul 2022Need advice pls, thinking of getting a fairly used iPhone, between iPhone xs Max and 11 which ... moreAny of those will be good factor in a price of a new battery and get whatEvers in your budget. But if it was me Iâ€™d get the 11 itâ€™ll get 1 or 2 more iOS updates than the xs max. Or wait till the 14 is released prices of these older ones will be cheaper . Spending where you live here in US you can get a new iPhone 11 for 299 on prepaid",11-Jul-22,Jul,2022,11,0,0
145,no_ID,"Grey Wolf, 08 Jul 2022Dude seriously? You just suggested another person in here to get the iPhone 11, then couple of... moreI advised iPhone 11 only for iOS future updates not for overall perspective.",9-Jul-22,Jul,2022,9,0,0
146,Ricky,Could someone advise me why I cannot find the YouTube application on my mobile? I cannot download it via AppStore too iPhone 11,9-Jul-22,Jul,2022,9,0,0
147,Grey Wolf,"ddas, 07 Jul 2022Iâ€™m bored off from my iPhone 11 & want to switch to iPhone 13 miniâ€¦but itâ€™s not even an ye... moreDude seriously? You just suggested another person in here to get the iPhone 11, then couple of comments after you said that you are unsatisfied with the phone. Lol.   
As for your ""problems"", I don't want to be rude, but I think there are coming from the upper levels, if you get what I mean. Nothing wrong with the phones.",8-Jul-22,Jul,2022,8,0,0
148,no_ID,"Iâ€™m bored off from my iPhone 11 & want to switch to iPhone 13 miniâ€¦but itâ€™s not even an year that Iâ€™m using iPhone 11 & neither I have money now in hand. Back in October 2021, I was also not having enough money so I bought this iPhone 11 model on credit card EMI, but later I felt unsatisfied using a LCD HD screen along with missing the light weight of iPhone 13 & amazing rear+front cameras of 13. 
Ohh Godâ€¦such a mess, I couldnâ€™t afford new trending iPhones & always end up buying old models, then I feel bored using the old models even though I bought them new packed piece. Please guide meðŸ™ðŸ¼",7-Jul-22,Jul,2022,7,3,0
149,no_ID,"ddas, 06 Jul 2022Go for iPhone 11 as it will be having more longevity considering iOS future update wise.Thank you, I appreciate",6-Jul-22,Jul,2022,6,0,0
150,no_ID,"Andykhan, 06 Jul 2022Need advice pls, thinking of getting a fairly used iPhone, between iPhone xs Max and 11 which ... moreGo for iPhone 11 as it will be having more longevity considering iOS future update wise.",6-Jul-22,Jul,2022,6,0,0
151,no_ID,"Need advice pls, thinking of getting a fairly used iPhone, between iPhone xs Max and 11 which would be better for someone on a tight budget and coming from an Android platform",6-Jul-22,Jul,2022,6,0,0
152,Iphone11user,"Bahaa87, 30 Jun 2022I want to buy a used phone, 
X max 256 2 sim with battery life 100%
or iphone 11 128 1 sim w... moreXS max with 100 battery health is better",1-Jul-22,Jul,2022,1,0,0
153,R,"Is it still a good buy these days, what do you think??",1-Jul-22,Jul,2022,1,0,0
154,no_ID,"I want to buy a used phone,  
X max 256 2 sim with battery life 100% 
or iphone 11 128 1 sim with battery life 89%
 
Plz which best?  
Thank you",30-Jun-22,Jun,2022,30,0,0
155,Anonymous,"Iphone11user , 28 Jun 2022Help im charging my 11 128 using Samsung galaxy S6 original adapter (brought from certified Sa... moreNo problem, Samsung charger should be reliable and with original Apple cable, itâ€™s all good",30-Jun-22,Jun,2022,30,0,0
156,Iphone11user ,"Help im charging my 11 128 using Samsung galaxy S6 original adapter (brought from certified Samsung Reseller) and original apple cable would it be safe in the long run? I bought the adapter new in 2018 and has charged my Note5 32GB, iPhone 8 with no problems and no heating whatsoever.",28-Jun-22,Jun,2022,28,0,0
157,iPhone11user,"buddddha, 25 Jun 2022I'm planning to move to iOS soon and I'm currently between 11 256G and the 11 Pro 25... moreRegular 11 is good enough",27-Jun-22,Jun,2022,27,0,0
158,buddddha,"I'm planning to move to iOS soon and I'm currently between 11 256G and the 11 Pro 256G, the stacks are in favor for the 11 256 because of more mAh and overall design but the Pro offers camera upgrade + better screen and resolution. Which one would you choose?",25-Jun-22,Jun,2022,25,0,0
159,buddddha,"rajke, 24 Jun 2022hey guys i have a question, rn I am on android and im going to upgrade on iPhone so this is th... moreThe new one, pal. Refurbished are not worth it.",25-Jun-22,Jun,2022,25,0,0
160,Anonymous,I found to wide ratio!!! And speaker was awful. Vibrated back. Went back to Samsung one ui  5g lovin it.,25-Jun-22,Jun,2022,25,0,0
161,no_ID,"Nizmo, 24 Jun 2022Get the new one . Refurbished iPhone 11 Now probably need a battery Replacement . Or you could... morei know its better to wait but the 14, isn't it suposed to jbe out next year? I was thinking to wait till mid summer  
at max so what is the move here 550â‚¬ new iPhone 11 or refurbished 400â‚¬?",25-Jun-22,Jun,2022,25,0,0
162,rajkee,"Nizmo, 24 Jun 2022Get the new one . Refurbished iPhone 11 Now probably need a battery Replacement . Or you could... moresory it is not 420 its like 550â‚¬, and the new 14 is out like next year n i was thinking to get the 11 atleast till mir summer, any suggestions?",25-Jun-22,Jun,2022,25,0,0
163,Nizmo,"rajke, 24 Jun 2022hey guys i have a question, rn I am on android and im going to upgrade on iPhone so this is th... moreGet the new one . Refurbished iPhone 11 Now probably need a battery Replacement . Or you could wait for the iPhone 14 to release and get a 12 or 13 for cheaper than they are now",24-Jun-22,Jun,2022,24,0,0
164,rajke,"hey guys i have a question, rn I am on android and im going to upgrade on iPhone so this is the problem i cant solve... So what is better to buy from Amazon, an IPhone 11 (new 420â‚¬) or IPhone 11 r(refurbished 380â‚¬) 
this refurbished one is 2gb and 2019 the new one is 4gb and 2020...
 
I nead answers plsðŸ‘",24-Jun-22,Jun,2022,24,0,0
165,Iphone11user ,"david, 08 Jun 2022Is the iphone 11 really water proof?They are. IP68 rated, friend had a XR that he dipped accidentally into a 2m swimming pool. Thing still lives and he was able to get water out of the speaker grilles and mic. No permanent damage, the screen adhesive itself is water resistant to IP68 and the rear glass is sealed tight no gaps. SIM tray also has a very solid rubber gasket",22-Jun-22,Jun,2022,22,0,0
166,no_ID,Still rocking it in 2022,21-Jun-22,Jun,2022,21,0,0
167,Bryle,"bestphonesforyou, 16 Jun 2022Hey if anyone owns this phone how much fps runs on pubg or codm is the battery life good in lo... moreJust have iphone 11 pro max.",20-Jun-22,Jun,2022,20,0,0
168,Anonymous,"bestphonesforyou, 16 Jun 2022Hey if anyone owns this phone how much fps runs on pubg or codm is the battery life good in lo... more21hr gaming great.",20-Jun-22,Jun,2022,20,0,0
169,no_ID,Hey if anyone owns this phone how much fps runs on pubg or codm is the battery life good in low brightness battery saving and dark mode i need the phone for gaming,16-Jun-22,Jun,2022,16,0,0
170,no_ID,"razi, 15 Jun 2022I am currently using iphone Xs and i am not quite happy with battery life, i need to charge it... moreDay and night difference. You can easily get full day on single battery charge and moderate to heavy use.",15-Jun-22,Jun,2022,15,0,0
171,razi,"I am currently using iphone Xs and i am not quite happy with battery life, i need to charge it twice daily....thinking to buy an iphone 11, will it be better in terms of battery?",15-Jun-22,Jun,2022,15,0,0
172,T,"Mambila, 14 Jun 2022Why do iPhones have lower mAh compared to androids but have stronger battery?They have better CPU perfomance thus better optimization.",15-Jun-22,Jun,2022,15,0,0
173,Bruh,"Mambila, 14 Jun 2022Why do iPhones have lower mAh compared to androids but have stronger battery?Efficient SOCs and apple optimize apps very well compared to android because they don't have lot of devices to work with",15-Jun-22,Jun,2022,15,0,0
174,no_ID,Why do iPhones have lower mAh compared to androids but have stronger battery?,14-Jun-22,Jun,2022,14,0,0
175,Anonymous,"Tahir, 12 Jun 2022iPhone 11 pro for better camera and screen.
iPhone 11 for good battery and obviously you can ... more11 pro has better battery life",14-Jun-22,Jun,2022,14,0,0
176,no_ID,"Wenny, 11 Jun 2022Guys I need your helpðŸ˜£... I'm planning to upgrade my iPhone 7+ to 11 version. But I have ... moreGo for new iPhone11 only as it will be covered in warranty. Also LCD screen of iPhone11 is bright and looks nice. U wonâ€™t much repent for not using an Amoled screen as on pro version. Go for iPhone11..ðŸ‘ðŸ¼",14-Jun-22,Jun,2022,14,0,0
177,GHST,"Wenny, 11 Jun 2022Guys I need your helpðŸ˜£... I'm planning to upgrade my iPhone 7+ to 11 version. But I have ... moreYou better go for new one. Used one will give you more concern down the line - battery health, any previous damages/repairs etc might act up. Only go for used if you can verify the authenticity as well as a great price drop. After all, you want what you buy to last you longer. So pay the same amount for new if both are similarly priced. You will be able to get more out of it in the long run.",13-Jun-22,Jun,2022,13,0,0
178,no_ID,"Wenny, 11 Jun 2022Guys I need your helpðŸ˜£... I'm planning to upgrade my iPhone 7+ to 11 version. But I have ... moreiPhone 11 pro for better camera and screen. 
iPhone 11 for good battery and obviously you can get new one for same used iPhone 11 pro.",12-Jun-22,Jun,2022,12,0,0
179,Anonymous,"Iphone11user, 20 May 2022Flawed junk. Terrible battery life, slow wi-fi, slow to connect to bluetooth earphones, laggin... moreThats why dont buy cheap fake china iphone with android os in it...",12-Jun-22,Jun,2022,12,0,0
180,Wenny,"Guys I need your helpðŸ˜£... I'm planning to upgrade my iPhone 7+ to 11 version. But I have a dilemma whether I choose ip 11(new) or ip 11 pro(used) at same price... What should I choose?
 
I'm looking forward for the reply.",11-Jun-22,Jun,2022,11,0,0
181,no_ID,"Anonymous, 10 Jun 2022Oh and what I forgot, the 13 mini doesnâ€™t have black and white but stupid â€žstarlight and midnightâ€œyou can always just slap on a case",10-Jun-22,Jun,2022,10,0,0
182,Anonymous,"Anonymous, 10 Jun 2022But that one has flat sides and OLED.Oh and what I forgot, the 13 mini doesnâ€™t have black and white but stupid â€žstarlight and midnightâ€œ",10-Jun-22,Jun,2022,10,0,0
183,Anonymous,"oio, 09 Jun 2022iPhone 13 miniBut that one has flat sides and OLED.",10-Jun-22,Jun,2022,10,0,0
184,no_ID,"Anonymous, 08 Jun 2022If it was like 5.5 inch, it would have been the perfect phone.iPhone 13 mini",9-Jun-22,Jun,2022,9,0,0
185,SMOKE,"david, 08 Jun 2022Is the iphone 11 really water proof?no it is not it was just a gimmick.......!!!!!",8-Jun-22,Jun,2022,8,0,0
186,Anonymous,"If it was like 5.5 inch, it would have been the perfect phone.",8-Jun-22,Jun,2022,8,0,0
187,no_ID,"I love my iPhone 11ðŸ¥°. Donâ€™t know if I will be ever going to buy a new iPhone again as I canâ€™t afford to buy again. So Iâ€™m going to keep my iPhone atleast for 3-4yrs from now. Earlier I wasted lots of money behind switching Android mobiles every 6-12months but after buying iPhone 11, 128gb â€¦I think I will be able to sustain it for coming 3-4yrs. Iâ€™m from India & bought my iPhone 11 in Oct 2021. A happy customer.. ðŸ˜Š",8-Jun-22,Jun,2022,8,3,0
188,david,Is the iphone 11 really water proof?,8-Jun-22,Jun,2022,8,0,0
189,Kojo,The best thing about iPhone 11 is the battery. It's got a very good battery.,5-Jun-22,Jun,2022,5,0,0
190,Jules,"Luis908, 02 Jun 2022I canâ€™t complain about iphone 11 battery results. Last charge was at 11:40pm and its now 9:19p... moreSame me here i had charged the phone 11 , for almost 3 hours the battery level has not changed, it seems not charging at all but in the brochure it says quick charging, any possible comments/reaction guys.",3-Jun-22,Jun,2022,3,0,1
191,no_ID,"I canâ€™t complain about iphone 11 battery results. Last charge was at 11:40pm and its now 9:19pm. 20 hours since last charge and im done to 23 percent. I been watching videos, texting, social media, on and off since i have things to do in between and darn this is great results. Last  me twice the time on iphone se 2nd and a53 5g combined. Yes i let go of a53 5g because battery wasnâ€™t what I suspected it to last with a 5000mah. Im happy",2-Jun-22,Jun,2022,2,0,0
192,Princess,Apple Iphone 11 is great and for all thekinoloji haiters stop giving fake comments.People like Me who have Iphone 11 know that is a great phone now stop giving fake news because number one you dont have thekinoloji phone two you have not expirienced it and three you dont even know thekinoloji qauility si all Iphone 11 lovers stand up to thekinoloji rumors and tell them what a great phone it is,2-Jun-22,Jun,2022,2,0,0
193,Loco,"iPhone11bro, 31 May 2022If you hate lagging and stuttering go for the 12. The 11 lags in every scenario imaginableStop making false statements. 11 ia great and no flaws and i own one right now. You donâ€™t probably owe one so your just giving out false information. 11 battery is more likely better than 12 because iphone 12 has 2800 mah and the 11 has 3100 mah",1-Jun-22,Jun,2022,1,0,0
194,saad,"iPhone11bro, 31 May 2022If you hate lagging and stuttering go for the 12. The 11 lags in every scenario imaginableNo it doesn't lol.",31-May-22,May,2022,31,0,0
195,no_ID,"iPhone11bro, 31 May 2022If you hate lagging and stuttering go for the 12. The 11 lags in every scenario imaginableiphone 11 lags and stuttering?? like did you really own one??? both of them are great though",31-May-22,May,2022,31,0,0
196,no_ID,"Someone, 27 May 2022Bro Why would you buy an iphone to game onðŸ’€ðŸ’€ just buy a got Damn pcPC isnt portable so iPhones are the only option for portability.",31-May-22,May,2022,31,0,0
197,iPhone11bro,"Chibiak, 26 May 2022Please guys the iPhone 11 pro or 11 which is better to buy I have the money to buy but am conf... moreIf you hate lagging and stuttering go for the 12. The 11 lags in every scenario imaginable",31-May-22,May,2022,31,0,0
198,Someone,"Chibiak, 26 May 2022Please guys the iPhone 11 pro or 11 which is better to buy I have the money to buy but am conf... moreBro Why would you buy an iphone to game onðŸ’€ðŸ’€ just buy a got Damn pc",27-May-22,May,2022,27,0,0
199,Dyl,"Chibiak, 26 May 2022Please guys the iPhone 11 pro or 11 which is better to buy I have the money to buy but am conf... moreBoth have pretty much the same performance, you can't go wrong!",26-May-22,May,2022,26,0,0
200,Chibiak,"Please guys the iPhone 11 pro or 11 which is better to buy I have the money to buy but am confused and the 11 pro is kinda small but the 11 is ok in size for me....But right now am looking for performance which has better performance when it comes to gaming like...Cod,and pubg which will be better....I need you guys help cuz am really confused....i know both has great cameras but am looking for which is better in gaming and overall cuz I hate lag and stuttering I need something fast",26-May-22,May,2022,26,0,0
