,ID,title,verified,stars,body,date,Month,Year,Mentioned purchase time?,Mentioned battery and reliability info?,Review was updated?,"In box problem, no problem, out of box problem? (-1, 0, 1)",Problem with equipment/accesories?,Problem with customer service?,Comments,"How many months between purchase time and the review submission date? (1-less than 1 month, 2- 1 to 6 month, 3- 6 to 12 months, 4- more than 12 months)",Battery failure? 0 or 1
10,Positive,Great condition! Came sooner than expected!! My daughter was sooo happy to get her first phone!,Verified Purchase,5.0 out of 5 stars,"Was a Little skeptical since I’ve never ordered a used phone before! Everything is in perfect condition! I got this phone for my daughter it is her first phone ! She is in love with it! We realize it’s a hassle to sign up with local carriers and be on a contract , we prefer to buy a sim and a pre paid everything worked out and had no issues !! Battery life is a little low but don’t have to recharge at all through the day!",13-Sep-22,September,2022,0,1,0,0,0,0,,0,0
11,K. Clay,Arrived in perfect condition,Verified Purchase,5.0 out of 5 stars,The phone came in perfect condition -- the battery life was at 100% and no scratches anywhere. The call quality was as expected on both speaker phone and using the handset. It went through a full day's use and the battery only dropped to about 55%. Great seller experience with KANGA SUPPLY.,25-Sep-22,September,2022,0,1,0,0,0,0,,0,0
12,"JULIE A, RICHARDSON",Worked well from start.,Verified Purchase,4.0 out of 5 stars,I like this upgrade from a 6s plus. It has performed well. Only thing i can gripe about was a couldn’t hear well with phone calls but the ear phone area was dirty. No problem now.,24-Sep-22,September,2022,0,0,0,-1,0,0,Not sure to consider it as an in box problem?,0,0
13,Maryann Collier,Worth the money,Verified Purchase,5.0 out of 5 stars,My husband phone died and he does the majority of his work on his cell phone so this was a very dire situation. Was not interested in going to my local cell phone store so headed to Amazon to grab this phone. I paid a fraction of what I would through my cell phone company and it is the perfect phone.,18-Sep-22,September,2022,0,0,0,0,0,0,,0,0
14,Martin Navarro,"Don't buy from promo dealz, buy from hybrid it!",Verified Purchase,5.0 out of 5 stars,"Bought from promo dealz, Phone arrived with a major deep hairline scratch on the screen and with Face ID not working. I ordered in excellent condition and was not given a device in excellent condition.Edit: I have since returned and bought from another seller: hybrid it. And it came in perfect condition!",21-Sep-22,September,2022,0,0,1,-1,0,0,,0,0
15,Logan F.,It seems alright,Verified Purchase,4.0 out of 5 stars,The phone seems good so far but I paid for excellent condition and there’s a decent size scuff on the screen and the batter health is at 80%? I wouldn’t have got excellent condition if I knew it’d be like this but a phone is a phone,15-Sep-22,September,2022,0,1,0,-1,0,0,,0,1
16,Amazon Customer,100% Worth Your Money!!,Verified Purchase,5.0 out of 5 stars,"It came with a new charger, in perfect condition! No scratches, no glitches, no dents! It looks brand new and works like it’s brand new. I had no hassle switching my device with my carrier company. 10/10 recommend!",23-Sep-22,September,2022,0,0,0,0,0,0,,0,0
17,yaiser,Buen estado,Verified Purchase,5.0 out of 5 stars,"Llego en perfecto estado, el único inconveniente fue que se demoro la entrega ya que nos trasladamos muy lejos para ir a retirar, pero todo lo demás excelente estado físico y software, me encantó",26-Sep-22,September,2022,,,,,,,,,0
18,Ambar,Few scratches,Verified Purchase,5.0 out of 5 stars,"Like promised; almost new. Came with charger, that little tool to take out the SIM card and a screen protector it also has few scratches but it’s okay. So far so good.",25-Sep-22,September,2022,0,0,0,0,0,0,,0,0
19,Kevin Hallford,Good price for the phone. Just wish it had better battery life,Verified Purchase,4.0 out of 5 stars,Good price for the phone. Just wish it had less scraches and better battery life,24-Sep-22,September,2022,0,1,0,0,0,0,not completely satisfied with the battery,0,0
20,loisstevens,"Not bad, not bad at all",Verified Purchase,5.0 out of 5 stars,"Arrived today, clean no scratches at all. Easy transfer from 7 to 11 in spite of me!!! So far everything works great. Worth the buy!!",28-Sep-22,September,2022,0,0,0,0,0,0,,0,0
21,Steven,Great phone at a great price,Verified Purchase,5.0 out of 5 stars,The battery health is at 85% when I got it not a big deal still hold a charge throughout the day. Phone runs smooth with issues everything works on it like it’s supposed to.,22-Sep-22,September,2022,0,1,0,0,0,0,,0,0
22,Laura,Super satisfied,Verified Purchase,5.0 out of 5 stars,"Great buy, looks just like new, came with charging head, cable, clear case and even a screen protector. Have been using the phone for a couple of days and it hasn’t shown any defects, it also has a 90 day warranty. Very satisfied, would recommend to buy.",17-Sep-22,September,2022,0,0,0,0,0,0,,0,0
23,Mary Ann,Great,Verified Purchase,5.0 out of 5 stars,Thank you! I was hesitant to buy a phone on line but you proved I made a great decision. Fast shipping was told by Friday was here on Wednesday. Perfect condition.,23-Sep-22,September,2022,0,0,0,0,0,0,,0,0
24,Macey,I love it so far…,Verified Purchase,5.0 out of 5 stars,I was really nervous with buying a phone on Amazon but I’m glad I did it has worked perfectly for me there were not scratches or anything and the battery last forever anyways that’s it I hope this helps just try it out if it doesn’t work than return it.,12-Sep-22,September,2022,0,1,0,0,0,0,,0,0
25,Federico Silva marquez,Batería,Verified Purchase,4.0 out of 5 stars,"Todo está muy bien, pero la batería está un poco desgastada",25-Sep-22,September,2022,,,,,,,,,0
26,Michelle Arnold,Great deal for wonderful phone.,Verified Purchase,5.0 out of 5 stars,My refurbished iPhone 11 arrived 3 days after I ordered it. It appeared new. No scratches/marks anywhere. Fantastic battery life! I am pleased with my purchase and whole heartedly recommend this company!,22-Sep-22,September,2022,0,1,0,0,0,0,,0,0
27,Mattison Turner,a little bummed the screen has scuffs,Verified Purchase,4.0 out of 5 stars,everything looks good except the screen has some scuffs on it and the back camera is scratched. I bought 4 of these phone and 3/4 were perfect,16-Sep-22,September,2022,0,0,0,-1,0,0,,0,0
28,Jerome W,GREAT PRODUCT - IPhone 11,Verified Purchase,5.0 out of 5 stars,"The phone arrived on time and I was very nervous to see what was inside because I had bought an IPhone 11 from “BuySPRY” (that phone came with screen issues, scratches just an awful experience from that seller).However I got the phone returned that decided to use “KANGA SUPPLY” instead. The phone was in perfect condition. It did not have any sign of previous use or any scratches. The battery life was at 88% which is ok for me.It didn’t came with the original box or the original accessories but came with a generic charger.Overall I was very pleased with the phone and I would highly recommend them.",26-Aug-22,August,2022,0,1,0,0,1,0,,0,0
29,Charis Walker,Good phone!,Verified Purchase,4.0 out of 5 stars,I got it a couple days ago and so far I’ve had no issues. It has a few dings but other than that seems to work great. Good buy 👍🏻,10-Sep-22,September,2022,1,0,0,0,0,0,,1,0
30,Curtly A.,I love it,Verified Purchase,5.0 out of 5 stars,I would recommend more people to buy refurbished phones once it comes like this one. The battery came at 94% and had no visible wear and tear. I would totally recommend it.,22-Sep-22,September,2022,0,1,0,0,0,0,,0,0
31,Raehana N.,Not satisfied with battery health below 80%,Verified Purchase,4.0 out of 5 stars,"In the features and details it was noted that the battery health would be a minimum of 80% but the battery health health came 77% not satisfied at all with this. However, The housing etc is great.",11-Sep-22,September,2022,0,1,0,0,0,0,,0,1
32,John Franklin,Good price good phone,Verified Purchase,4.0 out of 5 stars,"This being my first IPhone after 4 androids. Basically very happy with the performance of the processor and functions. Battery level rated at 80%, so that barely qualifies with the seller’s specs.My only real issue is the screen is not an Apple replacement and the brightness is a problem.All in all, I’m happy with it.",30-Aug-22,August,2022,0,1,0,-1,0,0,,0,1
33,Andres Miciukiewicz,Todo ok pero la bateria solo al 79%,Verified Purchase,4.0 out of 5 stars,"Todo ok, la batería solo vino baja",23-Sep-22,September,2022,,,,,,,,,0
34,Will,Good battery life.,Verified Purchase,4.0 out of 5 stars,Battery life at 94% on arrival.,26-Sep-22,September,2022,0,1,0,0,0,0,,0,0
35,Alex Deiter,Not bad,Verified Purchase,4.0 out of 5 stars,Not bad,24-Sep-22,September,2022,0,0,0,0,0,0,,0,0
36,Amazon Customer,"Excelente producto, mi Hija muy contenta..",Verified Purchase,5.0 out of 5 stars,"Lo compre como regalo de cumpleaños para mi hija, y excelente el producto, muy buen estado y Ella quedó muy contenta.",28-Sep-22,September,2022,,,,,,,,,0
37,Julie Anne,90% Battery Health,Verified Purchase,5.0 out of 5 stars,"To be honest I was expecting like 80% batt health since it was refurbished, but then it came 90% and I was really happy. Came with screen protector. Oh also i bought it for my sister and she likes it, so yeah",15-Sep-22,September,2022,0,1,0,0,0,0,,0,0
38,Katie Sisemore,The phone worked good,Verified Purchase,5.0 out of 5 stars,The phone when I got it look just like new I would just if you get the iPhone 11 get the purple one it’s really pretty it’s like a lavender color so yes Anna has a good battery life even though the iPhone 13 came out the iPhone 11 if you don’t want to pay $$600 on the iPhone 13 get the iPhone 11,7-Sep-22,September,2022,0,1,0,0,0,0,,0,0
39,Salvatore Ferrigno,Like new for a fraction of the price,Verified Purchase,5.0 out of 5 stars,"I may never buy a new phone again. This is the 3rd time I've purchased a refurbished phone from Amazon and I've never been disappointed. One had a small, nearly noticeable scuff, but the other two were perfect. All functions work great and battery life is like new. No complaints.",8-Sep-22,September,2022,0,1,0,0,0,0,,0,0
40,K,Bought this for my gf,Verified Purchase,5.0 out of 5 stars,I bought this phone for my gf i was skeptical because it was such a good deal for the price and the storage space the phone came with. Came in perfect condition with no issues other then having to go through getting the sim activated,9-Sep-22,September,2022,0,0,0,0,0,0,,0,0
41,Perfect Asare,Impressed by the product,Verified Purchase,5.0 out of 5 stars,I like the product i bought from this seller. The product looks almost unused and well packaged as well.I really like that they included a good charger which is nice of them,16-Sep-22,September,2022,0,0,0,0,0,0,,0,0
42,DrJohnAmah,The battery life is bad,Verified Purchase,4.0 out of 5 stars,The battery life and poor charger,23-Sep-22,September,2022,0,1,0,0,1,0,,0,1
43,iyanla ammiel,Battery life not that great screen no scratches came unlocked. Came with screen protector,Verified Purchase,5.0 out of 5 stars,Came early. Product came as described only problem was the battery life. 1-5 I give battery life a 3,26-Sep-22,September,2022,0,1,0,0,0,0,,0,1
44,Tetiana Chumachenko,good battery and only few scratches,Verified Purchase,5.0 out of 5 stars,we are happy with this iPhone 11. It's nice that the phone came with a silicone case and protective glass. The only sad thing is that the glass was broken.,18-Sep-22,September,2022,0,0,0,0,0,0,,0,0
45,leabee03,Great Phone,Verified Purchase,5.0 out of 5 stars,This phone is in pristine condition; not a scratch to be found! Everything works perfectly without a hitch. I’m a very happy customer!,23-Sep-22,September,2022,0,0,0,0,0,0,,0,0
46,Stacy,The battery needs a replacement should’ve told me that before I bought the phone,Verified Purchase,4.0 out of 5 stars,The battery is significantly Degraded. Never with refurbished phones have I had this issue,16-Sep-22,September,2022,0,1,0,0,0,0,,0,1
47,G. Berg,Previous owner's data accessible and unable to reset. Must return this gift. **Update** - Resolved,Verified Purchase,4.0 out of 5 stars,"Unable to reset without previous owner's Apple credentials (i.e. - Activation lock is active) and all his data, including photos/videos/contacts/apps, is accessible since no passcode is set! Crazy, to say the least. Was supposed to be a birthday gift, so pretty disappointed Amazon. Please make this right ASAP.***Update*** Amazon customer service (call) sent a replacement in decent cosmetic condition, but one of the speakerphone/stereo speakers is producing no sound and the other sounds blown, with distortion during high-volume playback of relatively quiet videos. After contacting Amazon customer support, I was taken through a long series of troubleshooting efforts with an Apple technician, only to conclude what was readily apparent; the speakers were faulty. I've been waiting two weeks for the ""escalation team"" to call me and losing confidence quickly. Not a good experience at all. I plan to return the phone and probably will avoid ""Amazon Refurbished"" altogether, in the future. They clearly have a poor QC process in place.",21-Jun-22,June,2022,0,0,0,-1,0,1,"We considered the second one. So, update does not say anything important about the second one. It does not count as an update.",0,0
48,Asmaa,Highly recommended,Verified Purchase,5.0 out of 5 stars,Same as new. I recommend this. They put a lot of effort into perfecting these phones. Me and my husband both got one and both said the same thing. His battery is 100% and mine is 99% thought. It can’t be more perfect than that.,9-Sep-22,September,2022,0,1,0,0,0,0,,0,0
49,Phil,Received a faulty charger,Verified Purchase,4.0 out of 5 stars,The phone is fine. The problem is the charger I received is faulty. It crackles when I plug it in and won’t charge the phone.,4-Sep-22,September,2022,0,0,0,0,1,0,,0,0
50,Alexandra Martin,Good but not full battery life,Verified Purchase,4.0 out of 5 stars,Its a good phone but at like 78% battery life,14-Sep-22,September,2022,0,1,0,0,0,0,,0,1
51,WIll Rudd,Good purchase overall,Verified Purchase,4.0 out of 5 stars,"The one came in and it worked so that was good off the bat. There were a few scratches on the back and around the outside of the camera. The only thing I was disappointed in is the battery life is 81%, I know they are renewed but that definitely could be better",17-Aug-22,August,2022,0,1,0,0,0,0,,0,0
52,Saqib,Good condition,Verified Purchase,4.0 out of 5 stars,We bought the excellent condition one. It didn’t come for a while but I found it today. It had a scratch on the phones body. It was clearly visible from 12 inches away. It looks like it was hit against something. Everything works tho so we won’t be returning it.,18-Aug-22,August,2022,0,0,0,0,0,0,,0,0
53,Tara Magnolia Weaver,Looks good!,Verified Purchase,4.0 out of 5 stars,"Looks good minimal scratches. Battery capacity at 88%. I just got it so we will see how it works. So far so good, the only reason I did 4 stars is due to the battery capacity.",29-Aug-22,August,2022,0,1,0,0,0,0,,0,0
54,Miku Grant,almost perfect,Verified Purchase,4.0 out of 5 stars,"The media could not be loaded.
 beautiful phone came in the box with a charger and a box and little pins to open the sim card thing.. getting to the point the catch for mine is when on the phone if i put it on speaker it makes it hard for people to hear what im saying but honestly its such a small price to pay for such a better working phone then my last.. yes i spent half my paycheck on it and would hope it was perfect but it couldve been so much worse and so much more expensive. the camera is amazing (id add a picture ive taken but amazon wont let me for some reason), the speaker works wonderfully, the battery seems to be great so far ive only had it for a few days so we'll see but im optimistic! the screen and back of the phone are gorgeous asf i wish i caught it in the video more. but oh well.. anyways yea although theres a flaw i was expecting one and its really not that bad or deep of an issue i can easily put in headphones if my arm gets tired of holding my phone to my ear. i think just be aware that u are getting a refurbished phone there might be a flaw or two but worst comes to worst you get a refund and send it back. the price was amazing and the upgraded camera and video quality is so crucial.",25-Jun-22,June,2022,1,1,0,-1,0,0,,1,0
55,lourdes,Recomendado,Verified Purchase,5.0 out of 5 stars,"El celular llego en perfecto estado, batería 90% de condición y funciona perfectamente para argentina.",27-Sep-22,September,2022,,,,,,,,,0
56,James,Good phone,Verified Purchase,5.0 out of 5 stars,Bought this for my mom and she hasn’t complained about issues with it,25-Sep-22,September,2022,0,0,0,0,0,0,,0,0
57,Jim in Hollister,Like new,Verified Purchase,5.0 out of 5 stars,"Like New! Works perfectly after I removed and replaced the screen protector, AWESOME PHONE - THANK YOU! Like new! Very satisfied",20-Sep-22,September,2022,0,0,0,0,0,0,,0,0
58,Jack,"Works well, battery level at 84% though",Verified Purchase,VINE VOICE,Love the color and very clean look. Battery was a little lower than I’d usually like but nonissues with the phone so far,1-Sep-22,September,2022,0,1,0,0,0,0,,0,0
59,Amy,So happy to have an updated phone!,Verified Purchase,5.0 out of 5 stars,I have no dislikes for this phone. I upgraded from a iPhone 7+ and I’m so happy with my purchase.,20-Sep-22,September,2022,0,0,0,0,0,0,,0,0
60,Luis,El celular tienes rayones 😞,Verified Purchase,4.0 out of 5 stars,Tenías rayones y eso no lo decía en la descripción,13-Sep-22,September,2022,,,,,,,,,0
61,Myron Marks,Everyone need to get one,Verified Purchase,5.0 out of 5 stars,I love the size of the phone and the color.,27-Sep-22,September,2022,0,0,0,0,0,0,,0,0
62,Belenny,Hermoso celular,Verified Purchase,5.0 out of 5 stars,"Lo compré para un amigo, el celular es muy lindo, no llegue a configurarlo ni nada porque fue un encargo pero no tenía ni un rasguño, Lucía como nuevo",13-Sep-22,September,2022,,,,,,,,,0
63,Andrés Esteban Gimenez,Excellent product and high battery life,Verified Purchase,5.0 out of 5 stars,"In first place i was a little worried about getting a phone with scratches and some hardware malfunction, but it was really an excellent decision to buy this refurbished iPhone, it came like a brand new iphone and with 93% of battery life! Excellent seller and product!",2-Sep-22,September,2022,0,1,0,0,0,0,,0,0
64,Mohala Rain,Prettiest soft green color! 🌿,Verified Purchase,5.0 out of 5 stars,"Came 100% perfect. No scratches, bumps, etc. Very satisfied with my purchase. And I love the color!",21-Sep-22,September,2022,0,0,0,0,0,0,,0,0
65,Sibichen,Scratches,Verified Purchase,4.0 out of 5 stars,I ordered excellent condition. But there are lot of visible scratches.,6-Sep-22,September,2022,0,0,0,0,0,0,,0,0
66,trevaughn d.,Very good,Verified Purchase,4.0 out of 5 stars,Service delivery was great and the time the phone arrived was earlier than expected...the phone works well n is in a good condition... Had some scratches but with a case it's perfect,23-Aug-22,August,2022,0,0,0,0,0,0,,0,0
67,JJ,"Apple iPhone 11, 64GB, Black - Unlocked (Renewed)",Verified Purchase,4.0 out of 5 stars,As expected just wish the battery % was higher that 82. An overall good buy.,1-Sep-22,September,2022,0,1,0,0,0,0,,0,0
68,Gabriel Cruz,"Buen teléfono, lo que esperaba",Verified Purchase,4.0 out of 5 stars,"Excelente teléfono, cambie del 6s Plus al 11 y es un salto cuya diferencia se nota bastante en cuanto a optimización, fluidez y experiencia de usuario. Estaba escéptico de comprar este teléfono por internet dados algunos reviews pero al final compré el iPhone 11 de 64 gb (unlocked) de BuySPRY y me llegó justo como lo pedí. Aunque el teléfono tiene algunos rayones en la pantalla no me quejo, funciona a la perfección.",30-Jul-22,July,2022,,,,,,,,,0
69,Oliver M.,Nice phone,Verified Purchase,5.0 out of 5 stars,Love the phone but was dead when got it and had a light scratch on lense,21-Sep-22,September,2022,0,0,0,-1,0,0,,0,0
70,Ms. Laura T.,Better Reception,Verified Purchase,5.0 out of 5 stars,"The iPhone 11 has much better reception with Verizon which has been my carrier for 35 years. I purchased the 13 iPhone with the promotion and could not get a call out, or in. Within the 15 days I return the 13 iPhone and the iPhone 11 works just as well if not better for reception, and all the features. I’ve had four, five, 7/8, and upgraded to the 13. Big mistake the 13 iPhone has so many problems and issues. Thank you for the good phone that I have now, my renewed iPhone 11",17-Aug-22,August,2022,0,0,0,0,0,0,,0,0
71,Aleska Aparicio,Celular de segunda y perfecto,Verified Purchase,5.0 out of 5 stars,"Al inicio tenía miedo, pero llegó perfecto está en buenas condiciones. Lo recomiendo",23-Sep-22,September,2022,,,,,,,,,0
72,teury brito peralta,Muy buena,Verified Purchase,4.0 out of 5 stars,Las bocinas del cel para llamada se escuchan bajitas pero están bien para mi no me gustan los altos sonidos,29-Aug-22,August,2022,,,,,,,,,0
73,Jaylah Marie,Not a scam,Verified Purchase,5.0 out of 5 stars,"Definitely worth getting comes fast, haven’t had any problems😁😁",25-Sep-22,September,2022,0,0,0,0,0,0,,0,0
74,Haley R,Perfect,Verified Purchase,5.0 out of 5 stars,"This was perfect. It worked with my SIM card immediately, connected to my Apple ID and worked perfect. I knew there were very minor imperfections, but they were so minuscule I barely noticed. Exactly what I needed with a quick turn around.",5-Sep-22,September,2022,0,0,0,0,0,0,,0,0
75,Anna,I wish this was perfect *Updated*,Verified Purchase,3.0 out of 5 stars,"I would like to say this is a perfect phone, and it certainly did work perfectly… until exactly 6 months after my purchase, and I mean 6 months TO THE DAY. When it suddenly stopped working, wouldn’t charge, began turning on and off repetitively about every 2-5 minutes, and it kept saying something along the lines of “battery cannot be confirmed as an apple product”. So whatever battery is in my phone well .. idk wtf it is :|. Along with that when I brought it to Best Buy’s geek squad it was so far gone that the supervisor couldn’t really do much and since for some reason they seem to have thrown random parts together and made it somehow work for half a year, it also means that (at least at best buy through their connection with apple) they couldn’t find my phone/serial number in the system at all which meant I couldn’t even get a replacement which would’ve been fricken covered but now I have to go to apple directly and am going to have to pay for a replacement battery and gods know what else. :|Update: I finally had my appt with apple and I thought it would maybe cost $150 max to replace the battery, ended up having to spend another $450 to just get an entirely new replacement phone instead. The battery still wouldn’t charge, and they said the wireless charger was so far gone and it was messed up somehow and that was what was causing the issue. I’m very suspicious though about how it all went down because I seriously mean it when I say it stopped working exactly 6 months after I bought it to the day 😭",4-Aug-22,August,2022,1,0,1,1,0,0,,0,0
76,jingles123,still a good phone in 2022,Verified Purchase,5.0 out of 5 stars,phone came fast and undamaged,28-Sep-22,September,2022,0,0,0,0,0,0,,0,0
77,Marose Orio,Great item!,Verified Purchase,4.0 out of 5 stars,"The media could not be loaded.
 Ordered iPhone 11 256gb and it came with good condition! It came with 80% battery life and barely noticeable scratches on its side. But overall, great product for its price!P.S Will edit this review after months of usage to see if I'm fully satisfied.",25-Sep-22,September,2022,0,1,0,-1,0,0,,0,1
78,Ben Walthall,thrilled to own this,Verified Purchase,5.0 out of 5 stars,so far it works perfectly. I'm thrilled with this. Photos are great quality.,17-Sep-22,September,2022,0,0,0,0,0,0,,0,0
79,Brent,Phone appears as new. Battery health is just above 80%,Verified Purchase,4.0 out of 5 stars,"Would like to get a renewed phone that has at least 90% battery health. In my opinion, it should have a newbattery replacement.",19-Aug-22,August,2022,0,1,0,0,0,0,,0,1
80,ARTURO BRITO CENTENO,Una herramienta útil en el trabajo,Verified Purchase,5.0 out of 5 stars,Recomendado ciento por ciento,28-Sep-22,September,2022,,,,,,,,,0
81,Abdo Ajrouche,Perfect condition,Verified Purchase,5.0 out of 5 stars,"The phone was delivered on time in an excellent condition, battery is at 90% but all other components are in perfect shape",12-Sep-22,September,2022,0,1,0,0,0,0,,0,0
82,Garrett,A review of an iPhone 11 bought from tech exchange,Verified Purchase,4.0 out of 5 stars,"The media could not be loaded.
 So I bought the phone in excellent condition. I am dissapointed that the phone came with scratches on the screen .. this was discovered only because I removed the screen protector. It had a micro crack on the back glass and a noticeable dent on the top left. I wasn't expecting that because I bought the phone in excellent condition . Other than that the phone is working fine",4-Sep-22,September,2022,0,0,0,-1,0,0,,0,0
83,Jose Galvez,en Paraguay funciona sin problema,Verified Purchase,5.0 out of 5 stars,la batería llego al 92% funciona en Paraguay.,23-Sep-22,September,2022,,,,,,,,,0
84,Nicolás Samaniego,Almost great!,Verified Purchase,4.0 out of 5 stars,Aside from a little tiny dent and the battery life being 82% at max capacity I think it’s pretty good! The charger that came with the phone is a little underwhelming tho.,13-Aug-22,August,2022,0,1,0,0,1,0,,0,0
85,tiny,it work goood,Verified Purchase,5.0 out of 5 stars,i like it,28-Sep-22,September,2022,0,0,0,0,0,0,,0,0
86,Autumn Sisk,Pretty good,Verified Purchase,5.0 out of 5 stars,"Phone was good, a little scratch at the top but other than that it was great!",15-Sep-22,September,2022,0,0,0,0,0,0,,0,0
87,Kenia Maria,Esta nuevo,Verified Purchase,5.0 out of 5 stars,Súper es un teléfono prácticamente nuevo,22-Sep-22,September,2022,,,,,,,,,0
